category,priority,model_component,source_type,title,organization,year_or_release,table_or_id,use_in_model,notes,url,citation
data,必須,燃料費入力,公式統計ページ,石油製品価格調査 調査の結果,資源エネルギー庁,2026-04-08最終更新,週次ファイル（1990年以降）,ガソリン・軽油等のエネルギー費用系列,週次の長期Excelファイルあり。通勤コストの燃料費部分に直接使用可能。,https://www.enecho.meti.go.jp/statistics/petroleum_and_lpgas/pl007/results.html,
data,補助,電力価格入力,公式市場データ,JEPX スポット市場（Day Ahead Market）,日本卸電力取引所,継続更新,spot / ave_day / ave_year,電力価格シナリオの補助資料,卸電力価格であり，家庭用充電単価の直接代理ではない。家庭用電気料金を別途置く場合の補助指標として使うのが望ましい。,https://www.jepx.jp/electricpower/market-data/spot/,
data,必須,一般化交通費の原単位,公式PDF,費用便益分析マニュアル（令和7年8月訂正版）,国土交通省 道路局・都市局,2025-08訂正反映版,ben-eki_2.pdf,時間価値原単位・走行経費原単位・感度分析の実務基準,一般化交通費の構成を公的実務基準に合わせる際の中核資料。,https://www.mlit.go.jp/road/ir/ir-hyouka/ben-eki_2.pdf,
literature,必須,量子計算による表面・界面反応,査読論文（OA）,,,,,corrosion_interface / interface_adhesion の量子側証拠,表面反応・局所埋め込み・資源削減の具体例。,https://www.nature.com/articles/s41534-023-00753-1,"Gujarati, T.P. et al. (2023) Quantum computation of reactions on surfaces using local embedding. npj Quantum Information 9, 88."
literature,必須,強相関固体の量子埋め込み,査読論文（OA）,,,,,金属素材群・周期系材料の量子側証拠,固体材料シミュレーションへの量子埋め込み。,https://www.nature.com/articles/s41524-023-01045-0,"Cao, C. et al. (2023) Ab initio quantum simulation of strongly correlated materials with quantum embedding. npj Computational Materials 9, 78."
literature,必須,近中期量子材料シミュレーション,査読論文（OA）,,,,,量子条件の資源改善ポテンシャル整理,材料ハミルトニアンと回路深さの改善例。,https://www.nature.com/articles/s41467-023-43479-6,"Clinton, L. et al. (2024) Towards near-term quantum simulation of materials. Nature Communications 15, 211."
literature,推奨,格子最適化・配置探索,査読論文（OA）,,,,,disorder_search / lattice_optimization の量子側証拠,高エントロピー合金の格子最適化。,https://www.nature.com/articles/s41524-024-01505-1,"Xu, Z. et al. (2025) Quantum annealing-assisted lattice optimization. npj Computational Materials 11, 4."
literature,推奨,腐食シミュレーション,査読論文（OA）,,,,,金属素材群の中心候補文献,腐食ワークフローと資源分析を同時に提示。,https://www.nature.com/articles/s41534-025-01171-1,"Nguyen, N. et al. (2026) Quantum computing for corrosion simulation: workflow and resource analysis. npj Quantum Information 12, 27."
literature,必須,軽量化率→燃費改善率,査読論文,,,,,10%軽量化あたりの燃費改善率レンジ（約6–8%）の根拠,軽量化と燃費改善の定量関係の学術的出発点。,https://link.springer.com/article/10.1007/s11837-012-0424-z,"Joost, W.J. (2012) Reducing Vehicle Weight and Improving U.S. Energy Efficiency Using Integrated Computational Materials Engineering. JOM 64, 1032–1038."
literature,必須,軽量化技術レビュー,政策技術レビュー,,,,,軽量化技術の制約・コスト・政策レビュー,燃費・CO2との関係，材料別の動向整理。,https://theicct.org/publication/lightweighting-technology-developments/,"Isenstadt, A. & German, J. (2017) Lightweighting technology developments. International Council on Clean Transportation."
literature,必須,PPMLの理論的根拠,査読論文（OA）,,,,,対数線形OLSではなくPPMLを採用する理論的根拠,重力方程式推定の古典的参照。,https://direct.mit.edu/rest/article/88/4/641/57668/The-Log-of-Gravity,"Santos Silva, J.M.C. & Tenreyro, S. (2006) The Log of Gravity. Review of Economics and Statistics 88(4), 641–658."
literature,推奨,PPMLの後続レビュー,査読論文（OA）,,,,,重力モデル推定の近年レビュー,PPMLの位置づけと発展を整理。,https://link.springer.com/article/10.1007/s10258-021-00203-w,"Santos Silva, J.M.C. & Tenreyro, S. (2022) The Log of Gravity at 15. Portuguese Economic Journal 21, 423–437."
literature,必須,高次元固定効果PPML実装,査読論文,,,,,ppmlhdfe 実装，分離診断，HDFEを含むPPML推定,実装論文。固定効果と推定可能性の診断に有用。,https://journals.sagepub.com/doi/10.1177/1536867X20909691,"Correia, S., Guimarães, P., & Zylkin, T. (2020) Fast Poisson estimation with high-dimensional fixed effects. The Stata Journal 20(1), 95–115."
literature,必須,通勤重力モデル,査読論文（OA）,,,,,通勤流動に対する重力方程式の直接的先行研究,通勤文脈での重力モデルの明示的参照。,https://academic.oup.com/joeg/article/16/1/155/2413035,"Persyn, D. & Torfs, W. (2016) A gravity equation for commuting with an application to estimating regional border effects in Belgium. Journal of Economic Geography 16(1), 155–175."
