paper_id,title,problem_variant,constraint,status,interpretation_rule
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,capacity,Not reported,Not reported is not treated as Not implemented
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,time window,Not reported,Not reported is not treated as Not implemented
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,multiple vehicles,Reported,Not reported is not treated as Not implemented
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,multiple depots,Not reported,Not reported is not treated as Not implemented
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,range,Not reported,Not reported is not treated as Not implemented
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,charging,Not reported,Not reported is not treated as Not implemented
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,SOC,Not reported,Not reported is not treated as Not implemented
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,heterogeneous fleet,Not reported,Not reported is not treated as Not implemented
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,precedence,Not reported,Not reported is not treated as Not implemented
vrp-2020-azad,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,VRP,subtour elimination,Reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,capacity,Not reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,time window,Not reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,multiple vehicles,Reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,multiple depots,Not reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,range,Not reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,charging,Not reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,SOC,Not reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,heterogeneous fleet,Not reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,precedence,Not reported,Not reported is not treated as Not implemented
vrp-2025-azfar-arxiv,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,VRP,subtour elimination,Reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,capacity,Reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,time window,Not reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,multiple vehicles,Reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,multiple depots,Not reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,range,Not reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,charging,Not reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,SOC,Not reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,heterogeneous fleet,Not reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,precedence,Not reported,Not reported is not treated as Not implemented
cvrp-2023-xie,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,CVRP,subtour elimination,Not reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,capacity,Reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,time window,Not reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,multiple vehicles,Not reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,multiple depots,Not reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,range,Not reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,charging,Not reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,SOC,Not reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,heterogeneous fleet,Not reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,precedence,Not reported,Not reported is not treated as Not implemented
cvrp-2023-palackal,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,CVRP/TSP decomposition,subtour elimination,Not reported,Not reported is not treated as Not implemented
