survey_id,record_scope,paper_id,authors,year,title,venue,doi,url,problem_family,problem_variant,application_domain,algorithm,hardware_or_simulator,formulation,encoding,objective_function,constraints_included,constraints_omitted,customer_count,node_count,vehicle_count,depot_count,instance_size_value,instance_size_unit,problem_instance_description,decision_variable_count,auxiliary_variable_count,ancilla_count,reported_width,width_unit,width_definition,logical_or_physical,width_formula,formula_page,formula_substitution,recalculated_width,formula_matches_reported,rounding_rule,derivation_status,reported_value_page,table_or_figure,depth_reported,gate_count_reported,runtime_reported,solution_quality_reported,hardware_executed,maximum_executed_width,maximum_estimated_width,evidence_type,value_type,extraction_method,extractor,reviewer,verification_status,evidence_quality,notes
SURV-011,STRUCTURED_SURVEY,encoding-2022-glos,Adam Glos; Aleksandra Krawiec; Zoltan Zimboras,2022,Space-efficient binary optimization for variational quantum computing,"npj Quantum Information 8, 39",10.1038/s41534-022-00546-y,https://www.nature.com/articles/s41534-022-00546-y,transportation/routing optimization,TSP,transportation and logistics,QAOA-compatible space-efficient encoding,theory; numerical study,QUBO encoding,"Reduces TSP qubits from standard N^2-style encodings toward log-factor-efficient permutation encodings, trading qubits for circuit depth",See primary source; not normalized across studies,Not reported,Not inferred from silence; see constraint-coverage table,,,,,,NOT_REPORTED,general TSP encoding,TSP size N,NOT_REPORTED,NOT_REPORTED,,formula,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,N^2 qubits,encoding-2022-glos Table 1; QUBO depth analysis,NOT_APPLICABLE,,,NOT_APPLICABLE,FORMULA_ONLY_NO_INSTANCE_SUBSTITUTION,NOT_APPLICABLE,Table 1,12N,Circuit volume 12N^3; measurements O(N^3) max W_ij,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_FORMULA,FORMULA_ONLY,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,B,TSP-specific theoretical resource bound. QUBO is depth-efficient but width-heavy relative to HOBO.
SURV-012,STRUCTURED_SURVEY,encoding-2022-glos,Adam Glos; Aleksandra Krawiec; Zoltan Zimboras,2022,Space-efficient binary optimization for variational quantum computing,"npj Quantum Information 8, 39",10.1038/s41534-022-00546-y,https://www.nature.com/articles/s41534-022-00546-y,transportation/routing optimization,TSP,transportation and logistics,QAOA-compatible space-efficient encoding,theory; numerical study,HOBO encoding,"Reduces TSP qubits from standard N^2-style encodings toward log-factor-efficient permutation encodings, trading qubits for circuit depth",See primary source; not normalized across studies,Not reported,Not inferred from silence; see constraint-coverage table,,,,,,NOT_REPORTED,general TSP encoding,TSP size N,NOT_REPORTED,NOT_REPORTED,,formula,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,N log N qubits,encoding-2022-glos Table 1; HOBO discussion,NOT_APPLICABLE,,,NOT_APPLICABLE,FORMULA_ONLY_NO_INSTANCE_SUBSTITUTION,NOT_APPLICABLE,Table 1,(4C^2 + 3C)N^2,Circuit volume (4C^2 + 3C)N^3 log N; measurements O(N^2) max W_ij,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_FORMULA,FORMULA_ONLY,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,B,TSP-specific theoretical resource bound. HOBO reduces qubits at the cost of deeper circuits.
SURV-013,STRUCTURED_SURVEY,encoding-2022-glos,Adam Glos; Aleksandra Krawiec; Zoltan Zimboras,2022,Space-efficient binary optimization for variational quantum computing,"npj Quantum Information 8, 39",10.1038/s41534-022-00546-y,https://www.nature.com/articles/s41534-022-00546-y,transportation/routing optimization,TSP,transportation and logistics,QAOA-compatible space-efficient encoding,theory; numerical study,Mixed QUBO-HOBO encoding,"Reduces TSP qubits from standard N^2-style encodings toward log-factor-efficient permutation encodings, trading qubits for circuit depth",See primary source; not normalized across studies,Not reported,Not inferred from silence; see constraint-coverage table,,,,,,NOT_REPORTED,general TSP encoding,TSP size N,NOT_REPORTED,NOT_REPORTED,,formula,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,C N^(2-alpha) log N qubits,encoding-2022-glos Table 1; mixed encoding efficiency section,NOT_APPLICABLE,,,NOT_APPLICABLE,FORMULA_ONLY_NO_INSTANCE_SUBSTITUTION,NOT_APPLICABLE,Table 1,2 alpha^2 C N^(1+alpha) log^2 N,Circuit volume 2 alpha^3 N^3 log^3 N; measurements O(N^(3-alpha) log N) max W_ij,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_FORMULA,FORMULA_ONLY,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,B,"Interpolates between QUBO and HOBO up to polylog factors; use as qubit-depth trade-off background, not CVRP resource value."
SURV-014,STRUCTURED_SURVEY,encoding-2022-glos,Adam Glos; Aleksandra Krawiec; Zoltan Zimboras,2022,Space-efficient binary optimization for variational quantum computing,"npj Quantum Information 8, 39",10.1038/s41534-022-00546-y,https://www.nature.com/articles/s41534-022-00546-y,transportation/routing optimization,TSP,transportation and logistics,QAOA-compatible space-efficient encoding,theory; numerical study,Enumerating / VQE-oriented encoding,"Reduces TSP qubits from standard N^2-style encodings toward log-factor-efficient permutation encodings, trading qubits for circuit depth",See primary source; not normalized across studies,Not reported,Not inferred from silence; see constraint-coverage table,,,,,,NOT_REPORTED,general TSP encoding,TSP size N,NOT_REPORTED,NOT_REPORTED,,formula,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,ceil(log(N!)) qubits,encoding-2022-glos Table 1; optimal encoding section,NOT_APPLICABLE,,,NOT_APPLICABLE,FORMULA_ONLY_NO_INSTANCE_SUBSTITUTION,NOT_APPLICABLE,Table 1,Exponential,Circuit volume exponential; measurements O(N) range(W),Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_FORMULA,FORMULA_ONLY,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,B,"Width-optimal route enumeration can require exponential terms/depth, so it is not treated as practical QAOA resource value."
SURV-015,STRUCTURED_SURVEY,vrp-2020-azad,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk,2020,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,arXiv:2002.01351; IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3172241,https://arxiv.org/abs/2002.01351,transportation/routing optimization,VRP,transportation and logistics,QAOA,IBM Qiskit simulation,edge-based Ising/QAOA encoding,Ising formulation for VRP using Qiskit,See primary source; not normalized across studies,multiple vehicles; subtour elimination,Not inferred from silence; see constraint-coverage table,,4.0,2.0,,4.0,locations,"(4,2) instance",n=4 locations; k=2 vehicles; N=n(n-1),NOT_REPORTED,NOT_REPORTED,12.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = n(n-1),vrp-2020-azad Fig. 2; Section V.A,4 × (4-1) = 12,12.0,True,none,RECALCULATED_MATCH,vrp-2020-azad Fig. 2; Section V.A,Fig. 2,p = 12,not reported; Qiskit simulation,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,The paper states N=n*(n-1) qubits and reports sufficient probability for p>=12; Fig. 2 shows p=12.
SURV-016,STRUCTURED_SURVEY,vrp-2020-azad,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk,2020,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,arXiv:2002.01351; IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3172241,https://arxiv.org/abs/2002.01351,transportation/routing optimization,VRP,transportation and logistics,QAOA,IBM Qiskit simulation,edge-based Ising/QAOA encoding,Ising formulation for VRP using Qiskit,See primary source; not normalized across studies,multiple vehicles; subtour elimination,Not inferred from silence; see constraint-coverage table,,5.0,2.0,,5.0,locations,"(5,2) instance",n=5 locations; k=2 vehicles; N=n(n-1),NOT_REPORTED,NOT_REPORTED,20.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = n(n-1),vrp-2020-azad Section V.B; Figs. 5-6,5 × (5-1) = 20,20.0,True,none,RECALCULATED_MATCH,vrp-2020-azad Section V.B; Figs. 5-6,Figs,p = 6 to 40,not reported; Qiskit simulation,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,The paper reports 20 qubits and trials over p=6 to 40. The obtained state was not the optimal one in the shown result.
SURV-017,STRUCTURED_SURVEY,vrp-2020-azad,Utkarsh Azad; Bikash K. Behera; Emad A. Ahmed; Prasanta K. Panigrahi; Ahmed Farouk,2020,Solving Vehicle Routing Problem Using Quantum Approximate Optimization Algorithm,arXiv:2002.01351; IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3172241,https://arxiv.org/abs/2002.01351,transportation/routing optimization,VRP,transportation and logistics,QAOA,IBM Qiskit simulation,edge-based Ising/QAOA encoding,Ising formulation for VRP using Qiskit,See primary source; not normalized across studies,multiple vehicles; subtour elimination,Not inferred from silence; see constraint-coverage table,,5.0,3.0,,5.0,locations,"(5,3) instance",n=5 locations; k=3 vehicles; N=n(n-1),NOT_REPORTED,NOT_REPORTED,20.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = n(n-1),vrp-2020-azad Fig. 3; Section V.C,5 × (5-1) = 20,20.0,True,none,RECALCULATED_MATCH,vrp-2020-azad Fig. 3; Section V.C,Fig. 3,p = 24,not reported; Qiskit simulation,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,The paper reports 20 qubits and sufficient probability for p>=24; Fig. 3 shows p=24 for top feasible solutions.
SURV-018,STRUCTURED_SURVEY,vrp-2025-azfar-arxiv,Talha Azfar; Osama Muhammad Raisuddin; Ruimin Ke; Jose Holguin-Veras,2025,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,arXiv:2505.01614,10.48550/arXiv.2505.01614,https://arxiv.org/abs/2505.01614,transportation/routing optimization,VRP,transportation and logistics,QAOA,IBM-Rensselaer Eagle r3; IBM Quantum System One; 127-qubit backend,edge-based link QUBO / QAOA,Link-based VRP formulation; flow conservation and subtour elimination in cost Hamiltonian,See primary source; not normalized across studies,multiple vehicles; subtour elimination,Not inferred from silence; see constraint-coverage table,,3.0,2.0,,3.0,nodes,3-node 2-vehicle instance,3 nodes; 2 vehicles; N=6 binary variables,NOT_REPORTED,NOT_REPORTED,6.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_RECALCULATED,vrp-2025-azfar-arxiv Section 4.1-4.3; Fig. 4,Fig. 4,p = 2,213 RZ gates; 104 RX gates; 43 echoed cross-resonance gates (CNOT); 11 Pauli-X gates,Not reported in width extraction table,Not extracted for this width record,True,6.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,"Binary variables are directly mapped to qubits. This is the successful small hardware instance; depth is QAOA p, while gate counts are after transpilation."
SURV-019,STRUCTURED_SURVEY,vrp-2025-azfar-arxiv,Talha Azfar; Osama Muhammad Raisuddin; Ruimin Ke; Jose Holguin-Veras,2025,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,arXiv:2505.01614,10.48550/arXiv.2505.01614,https://arxiv.org/abs/2505.01614,transportation/routing optimization,VRP,transportation and logistics,QAOA,IBM-Rensselaer Eagle r3; IBM Quantum System One,edge-based link QUBO / QAOA,Link-based VRP formulation; flow conservation and subtour elimination in cost Hamiltonian,See primary source; not normalized across studies,multiple vehicles; subtour elimination,Not inferred from silence; see constraint-coverage table,,4.0,,,4.0,nodes,4-node instance,4 nodes; depth p=2 scale test,NOT_REPORTED,NOT_REPORTED,14.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_RECALCULATED,vrp-2025-azfar-arxiv Section 4.3,NOT_REPORTED,p = 2,3207 RZ gates; 1642 RX gates; 928 echoed cross-resonance gates; 214 Pauli-X gates,Not reported in width extraction table,Not extracted for this width record,True,14.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,B,The paper uses this as evidence that larger p=2 instances become impractical and infeasible under hardware noise.
SURV-020,STRUCTURED_SURVEY,vrp-2025-azfar-arxiv,Talha Azfar; Osama Muhammad Raisuddin; Ruimin Ke; Jose Holguin-Veras,2025,Quantum-Assisted Vehicle Routing: Realizing QAOA-based Approach on Gate-Based Quantum Computer,arXiv:2505.01614,10.48550/arXiv.2505.01614,https://arxiv.org/abs/2505.01614,transportation/routing optimization,VRP,transportation and logistics,QAOA,IBM-Rensselaer target transpilation; hardware practicality limited,edge-based link QUBO / QAOA,Link-based VRP formulation; flow conservation and subtour elimination in cost Hamiltonian,See primary source; not normalized across studies,multiple vehicles; subtour elimination,Not inferred from silence; see constraint-coverage table,,5.0,,,5.0,nodes,5-node instance,5 nodes; depth p=2 scale test,NOT_REPORTED,NOT_REPORTED,30.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_RECALCULATED,vrp-2025-azfar-arxiv Section 4.3; Figs. 8-10,Figs,p = 2,about 30000 basic gates; two-qubit gate depth discussed as noise-accumulation measure,Not reported in width extraction table,Not extracted for this width record,True,30.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,The row is a scale warning rather than a successful solved instance; total gates increase rapidly with problem size.
SURV-021,STRUCTURED_SURVEY,cvrp-2023-xie,Ningyi Xie; Xinwei Lee; Dongsheng Cai; Yoshiyuki Saito; Nobuyoshi Asai; Hoong Chuin Lau,2023,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,arXiv:2308.08785,10.48550/arXiv.2308.08785,https://arxiv.org/abs/2308.08785,transportation/routing optimization,CVRP,transportation and logistics,Quantum Alternating Operator Ansatz / QAOA variant,Qiskit statevector simulator,feasibility-preserving AOA with decision and ancilla registers,New binary encoding; feasibility-preserving mixer; alternative shortest-path objective,See primary source; not normalized across studies,capacity; multiple vehicles,Not inferred from silence; see constraint-coverage table,,,,,,NOT_REPORTED,general N-customer CVRP AOA encoding,"N customers; capacity Q; registers x,y,a,d,c,r",NOT_REPORTED,NOT_REPORTED,,formula,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,2N^2 + ceil(log2(Q+max(q)+1)) - 2 qubits,cvrp-2023-xie Section IV.F; Section V.A; Fig. 6,NOT_APPLICABLE,,,NOT_APPLICABLE,FORMULA_ONLY_NO_INSTANCE_SUBSTITUTION,NOT_APPLICABLE,Fig. 6,p pairs,phase separation O(N^2(log2 Q)^2); mixing O(N^3); total O(pN^2(N+(log2 Q)^2)) gates; many MCT gates,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_FORMULA,FORMULA_ONLY,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,B,"Width is derived from the described register structure; OCR around Eq. 25 is ambiguous, but the register sum implies +ceil(log2(Q+max(q)+1))-2. Not a hardware-transpiled depth."
SURV-022,STRUCTURED_SURVEY,cvrp-2023-xie,Ningyi Xie; Xinwei Lee; Dongsheng Cai; Yoshiyuki Saito; Nobuyoshi Asai; Hoong Chuin Lau,2023,A Feasibility-Preserved Quantum Approximate Solver for the Capacitated Vehicle Routing Problem,arXiv:2308.08785,10.48550/arXiv.2308.08785,https://arxiv.org/abs/2308.08785,transportation/routing optimization,CVRP,transportation and logistics,Quantum Alternating Operator Ansatz / QAOA variant,Qiskit statevector simulator,feasibility-preserving AOA with Grover mixer,New binary encoding; feasibility-preserving mixer; alternative shortest-path objective,See primary source; not normalized across studies,capacity; multiple vehicles,Not inferred from silence; see constraint-coverage table,,,,,,NOT_REPORTED,4-customer P1/P2 and 3-customer P3s experiments,P1/P2: 4-customer instances; P3s: 48 random 3-customer instances,NOT_REPORTED,NOT_REPORTED,,formula,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,formula-based; see general N-customer row,cvrp-2023-xie Figs. 7-10; Table I,NOT_APPLICABLE,,,NOT_APPLICABLE,FORMULA_ONLY_NO_INSTANCE_SUBSTITUTION,NOT_APPLICABLE,Figs; Table I,depth = 1 to 9,depth-1 Table I reports feasibility ratio 1 for proposed encoding vs near-zero QUBO baseline; depth 1-9 improves P3s optimality,Not reported in width extraction table,Not extracted for this width record,False,,,DIRECTLY_REPORTED_FORMULA,FORMULA_ONLY,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,B,"Experimental depth is algorithmic depth, not physical circuit depth. The paper questions NISQ suitability due to MCT gates and bit-flip noise."
SURV-023,STRUCTURED_SURVEY,cvrp-2023-palackal,Lilly Palackal; Benedikt Poggel; Matthias Wulff; Hans Ehm; Jeanette Miriam Lorenz; Christian B. Mendl,2023,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,arXiv:2304.09629; IEEE QCE 2023,10.1109/QCE57702.2023.00080,https://arxiv.org/abs/2304.09629,transportation/routing optimization,CVRP/TSP decomposition,transportation and logistics,QAOA and VQE,IBM statevector simulator; QASM simulator on IBM cloud; 27-qubit IBM system in Ehningen for selected VQE,clustering + TSP; QAOA and hardware-efficient VQE,CVRP reduced to clustering plus TSP subproblems; application-driven solution-quality metric,See primary source; not normalized across studies,capacity,Not inferred from silence; see constraint-coverage table,,4.0,,,4.0,nodes,4-node TSP subproblem,4-node TSP derived from CVRP blue cycle,NOT_REPORTED,NOT_REPORTED,9.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = (n-1)^2 for the extracted TSP subproblem encoding,cvrp-2023-palackal Section IV; Table I; Table II; Table IV,(4-1)^2 = 9,9.0,True,none,RECALCULATED_MATCH,cvrp-2023-palackal Section IV; Table I; Table II; Table IV,Table I; Table II; Table IV,p = 5,VQE ansatz has 27 parameters; Table II uses 50 runs; QAOA Table IV reports poor feasibility,Not reported in width extraction table,Not extracted for this width record,True,9.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,This is not a direct full-CVRP circuit resource row; it is a TSP subproblem after CVRP clustering. QAOA p=5 did not reliably produce feasible TSP solutions.
SURV-024,STRUCTURED_SURVEY,cvrp-2023-palackal,Lilly Palackal; Benedikt Poggel; Matthias Wulff; Hans Ehm; Jeanette Miriam Lorenz; Christian B. Mendl,2023,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,arXiv:2304.09629; IEEE QCE 2023,10.1109/QCE57702.2023.00080,https://arxiv.org/abs/2304.09629,transportation/routing optimization,CVRP/TSP decomposition,transportation and logistics,QAOA and VQE,IBM statevector simulator; QASM simulator on IBM cloud,clustering + TSP; QAOA and hardware-efficient VQE,CVRP reduced to clustering plus TSP subproblems; application-driven solution-quality metric,See primary source; not normalized across studies,capacity,Not inferred from silence; see constraint-coverage table,,5.0,,,5.0,nodes,5-node TSP subproblem,5-node TSP derived from CVRP blue cycle,NOT_REPORTED,NOT_REPORTED,16.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = (n-1)^2 for the extracted TSP subproblem encoding,cvrp-2023-palackal Section IV; Table I; Table II; Table III,(5-1)^2 = 16,16.0,True,none,RECALCULATED_MATCH,cvrp-2023-palackal Section IV; Table I; Table II; Table III,Table I; Table II; Table III,p = 5,VQE ansatz parameter count 3(n-1)^2 = 48; feasibility transition discussed around 97-98% optimal energy,Not reported in width extraction table,Not extracted for this width record,True,16.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,TSP subproblem resource row. The paper uses it to show feasibility/penalty sensitivity and QAOA limitations.
SURV-025,STRUCTURED_SURVEY,cvrp-2023-palackal,Lilly Palackal; Benedikt Poggel; Matthias Wulff; Hans Ehm; Jeanette Miriam Lorenz; Christian B. Mendl,2023,Quantum-Assisted Solution Paths for the Capacitated Vehicle Routing Problem,arXiv:2304.09629; IEEE QCE 2023,10.1109/QCE57702.2023.00080,https://arxiv.org/abs/2304.09629,transportation/routing optimization,CVRP/TSP decomposition,transportation and logistics,QAOA and VQE,IBM statevector simulator; QASM simulator on IBM cloud,clustering + TSP; QAOA and hardware-efficient VQE,CVRP reduced to clustering plus TSP subproblems; application-driven solution-quality metric,See primary source; not normalized across studies,capacity,Not inferred from silence; see constraint-coverage table,,6.0,,,6.0,nodes,6-node TSP subproblem,6-node TSP derived from CVRP blue cycle,NOT_REPORTED,NOT_REPORTED,25.0,qubits,logical qubits or circuit wires used by the reported formulation,logical/resource-level; physical mapping not evaluated,W = (n-1)^2 for the extracted TSP subproblem encoding,cvrp-2023-palackal Section IV; Fig. 3; Table II,(6-1)^2 = 25,25.0,True,none,RECALCULATED_MATCH,cvrp-2023-palackal Section IV; Fig. 3; Table II,Fig. 3; Table II,p = 5,VQE ansatz parameter count 3(n-1)^2 = 75; runtime constraints noted for 6-node simulator runs,Not reported in width extraction table,Not extracted for this width record,True,25.0,,DIRECTLY_REPORTED_VALUE,NUMERIC_VALUE,local primary-source PDF/text extraction followed by structured normalization,Existing project extraction; normalized with a generative-AI coding assistant,NOT_DOCUMENTED,DIRECTLY_REPORTED,A,TSP subproblem resource row. This row supports workflow/runtime and feasibility-gap discussion rather than direct CVRP scaling.
