table_name,column_name,description,data_type,unit,allowed_range,missing_value_policy,source,generated_by,used_in
input_charger_connections,level,level,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,current_type,current type,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,quantity,quantity,float64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,power_kw,power kw,float64,kW,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,voltage,voltage,float64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,amps,amps,float64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,is_fast_charger_proxy,is fast charger proxy,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,operator,operator,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,usage_type,usage type,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,status_type,status type,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,source,source,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_charger_connections,downloaded_at,downloaded at,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,scenario_depot_id,scenario depot id,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,hub_id,hub id,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,facility_name,facility name,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,facility_major_type_code,facility major type code,int64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,facility_major_type,facility major type,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,address_or_municipality,address or municipality,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,longitude,longitude,float64,decimal degrees,"[-180, 180]",Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,latitude,latitude,float64,decimal degrees,"[-90, 90]",Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,depot_priority_rank,depot priority rank,int64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,scenario_role,scenario role,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,selection_rule,selection rule,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_depot_candidates,limitation,limitation,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,scenario_vehicle_id,scenario vehicle id,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,manufacturer,manufacturer,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,vehicle_model,vehicle model,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,include_in_baseline,include in baseline,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,battery_kwh,battery kwh,float64,kWh or ratio; see column,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,catalog_range_km,catalog range km,float64,km,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,usable_range_factor,usable range factor,float64,km,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,usable_range_km,usable range km,float64,km,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,payload_kg,payload kg,float64,kg,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,energy_consumption_kwh_per_km,energy consumption kwh per km,float64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,energy_consumption_rule,energy consumption rule,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,soc_reserve_rule,soc reserve rule,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,scenario_use,scenario use,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,source_id,source id,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,rule_rationale,rule rationale,str,dimensionless/text,"[0, 1] unless explicitly percentage",Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_vehicle_specs,limitation,limitation,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_analysis_parameters,parameter,parameter,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_analysis_parameters,low,low,float64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_analysis_parameters,base,base,float64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_analysis_parameters,high,high,float64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_analysis_parameters,unit,unit,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_analysis_parameters,evidence_status,evidence status,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_analysis_parameters,source_or_rationale,source or rationale,str,dimensionless/text,"[0, 1] unless explicitly percentage",Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,reference_id,reference id,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,paper_title,paper title,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,authors,authors,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,year,year,int64,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,doi,doi,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,url,url,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,page_or_section,page or section,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,problem_type,problem type,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,customer_count,customer count,str,records,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,vehicle_count,vehicle count,str,records,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,constraint_coverage,constraint coverage,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,encoding,encoding,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,binary_variable_count,binary variable count,str,records,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,logical_qubit_count,logical qubit count,str,records,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,physical_qubit_count,physical qubit count,str,records,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,ancilla_count,ancilla count,str,records,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,circuit_depth,circuit depth,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,two_qubit_gate_count,two qubit gate count,str,records,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,shots,shots,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,backend,backend,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,execution_type,execution type,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,classical_baseline,classical baseline,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,runtime,runtime,str,minutes,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,solution_quality,solution quality,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,optimality_gap,optimality gap,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,customer_scale_coverage,customer scale coverage,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,multiple_vehicle_coverage,multiple vehicle coverage,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,capacity_coverage,capacity coverage,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,time_window_coverage,time window coverage,str,minutes,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,battery_soc_coverage,battery soc coverage,str,kWh or ratio; see column,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,charging_station_coverage,charging station coverage,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,charging_duration_coverage,charging duration coverage,str,minutes,"[0, 1] unless explicitly percentage",Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,multi_depot_coverage,multi depot coverage,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,heterogeneous_vehicle_coverage,heterogeneous vehicle coverage,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,dynamic_demand_coverage,dynamic demand coverage,str,kg,>= 0,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,traffic_coverage,traffic coverage,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,driver_hours_coverage,driver hours coverage,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
input_quantum_evidence,evidence_scope_note,evidence scope note,str,dimensionless/text,,Allowed only when not evaluated/not available; audited by table tests,frozen input,source module or notebook,"scenario synthesis, constraint evaluation, or audit"
