origin_region_id,origin_region_name_ja,destination_city_id,industry_group_id,inflow_2025,unit,representative_distance_km,car_share
kyushu_outside,九州（福岡除く）,osaka,inorganic,164,person_day,650,0.62
kyushu_outside,九州（福岡除く）,sapporo,metal,62,person_day,1600,0.45
kyushu_outside,九州（福岡除く）,sapporo,chem_polymer,53,person_day,1600,0.45
kyushu_outside,九州（福岡除く）,sapporo,inorganic,37,person_day,1600,0.41
kyushu_outside,九州（福岡除く）,sendai,metal,73,person_day,1350,0.51
kyushu_outside,九州（福岡除く）,sendai,chem_polymer,67,person_day,1350,0.52
kyushu_outside,九州（福岡除く）,sendai,inorganic,47,person_day,1350,0.48
kyushu_outside,九州（福岡除く）,nagoya,metal,202,person_day,800,0.6
kyushu_outside,九州（福岡除く）,nagoya,chem_polymer,177,person_day,800,0.62
kyushu_outside,九州（福岡除く）,nagoya,inorganic,145,person_day,800,0.57
kyushu_outside,九州（福岡除く）,hiroshima,metal,190,person_day,280,0.65
kyushu_outside,九州（福岡除く）,hiroshima,chem_polymer,182,person_day,280,0.65
kyushu_outside,九州（福岡除く）,hiroshima,inorganic,137,person_day,280,0.7
kyushu_outside,九州（福岡除く）,fukuoka,metal,307,person_day,85,0.74
kyushu_outside,九州（福岡除く）,fukuoka,chem_polymer,253,person_day,85,0.69
kyushu_outside,九州（福岡除く）,fukuoka,inorganic,251,person_day,85,0.72
