source_id,dataset_name,provider,source_url,downloaded_at,observation_start,observation_end,geographic_scope,license_or_terms,original_filename,local_raw_path,sha256,processing_script,processed_outputs,status,limitations
mlit_r3_road_census_webmap_ota_tiles,令和3年度道路交通センサス可視化Web地図道路区間GeoJSON,国土交通省,https://www.mlit.go.jp/road/ir/ir-data/census_visualizationR3/,2026-08-23,2021-01-01,2021-12-31,大田区を包含するzoom13タイル範囲,国土交通省ウェブサイト利用規約,100 GeoJSON tiles,03_data/raw/traffic_simulation/road_census/mlit_r3_tokyo_20260823/webmap_tiles,b5636e785c58906c9c69e36e7ad88dc3d1d9fd28224dfd6ad11cc6c1b10a607c,05_src/traffic_simulation/calibration/prepare_ota_official_traffic_calibration.py,reproducibility/outputs/traffic_simulation/calibration/20260823_ota_official_traffic_observation_mapping_v5/mlit_r3_ota_observation_mapping.csv,processed,SHA256はファイル名と各ファイルSHA256の正規化一覧に対する集合ハッシュ;15m bufferと80%公式区間被覆を使用
keishicho_traffic_counts_2023_ota,令和5年警視庁交通量統計CSV原本,警視庁,https://catalog.data.metro.tokyo.lg.jp/dataset/t000022d0000000035,2026-08-23,2023-09-21,2023-09-21,東京都内調査地点から大田区9地点,CC BY 4.0,01_cyousagaiyou_csv.zip;01_cyousakekka_csv.zip;01_kousatenkubu_csv.zip;01_syuyoudanmen_csv.zip,03_data/raw/traffic_simulation/tokyo_police/keishicho_traffic_counts_2023_2024_20260823,09e42452d948d4b711071ef71cd412ce7af4bc441ffc9a929f9b7850d4062566,05_src/traffic_simulation/calibration/prepare_ota_official_traffic_calibration.py,reproducibility/outputs/traffic_simulation/calibration/20260823_ota_official_traffic_observation_mapping_v5/keishicho_ota_hourly_observations.csv,processed,SHA256は4 ZIPの集合ハッシュ;較正用;交差点は流入総量のみ;主要断面は両方向合計のみ;一意対応6地点
keishicho_traffic_counts_2024_ota,令和6年警視庁交通量統計CSV原本,警視庁,https://catalog.data.metro.tokyo.lg.jp/dataset/t000022d0000000035,2026-08-23,2024-11-12,2024-11-12,東京都内調査地点から大田区10地点,CC BY 4.0,02_cyousagaiyou_csv.zip;02_cyousakekka_csv.zip;02_kousatenkubu_csv.zip;02_syuyoudanmen_csv.zip,03_data/raw/traffic_simulation/tokyo_police/keishicho_traffic_counts_2023_2024_20260823,3ae16e95609bd0d5a39c39b9e98fb3d6f38060ab0efc59e0cddaa60ebbb5eeb0,05_src/traffic_simulation/calibration/prepare_ota_official_traffic_calibration.py,reproducibility/outputs/traffic_simulation/calibration/20260823_ota_official_traffic_observation_mapping_v5/keishicho_ota_hourly_observations.csv,processed,SHA256は4 ZIPの集合ハッシュ;独立確認用;較正には不使用;時間的独立のみで地点独立ではない;一意対応6地点
mlit_tmgms_2024_ss503,東京都市圏物資流動調査 個人のモノの受取調査 ss503,国土交通省 / e-Stat,https://www.e-stat.go.jp/stat-search/files?layout=dataset&tclass1=000001223521&tclass2=000001234242&toukei=00600520&tstat=000001078042,2026-08-23,2024-04-01,2025-03-31,東京都市圏,e-Stat利用規約,ss503_r06a.xlsx,03_data/raw/traffic_simulation/demand_proxy/mlit_tokyo_metropolitan_goods_movement_survey_2024_20260823/ss503_r06a.xlsx,73a3b72bb2d91fbad324a76ea1aa829159c28d4ba1d6f47f792cc9fdbce8a5f1,not_assigned,not_applicable,raw_acquired,宅配受取実態の集計表;配送車両数や配送停止数ではない;将来需要への変換はmodel assumptionとして別管理
mlit_tmgms_2024_ss506,東京都市圏物資流動調査 個人のモノの受取調査 ss506,国土交通省 / e-Stat,https://www.e-stat.go.jp/stat-search/files?layout=dataset&tclass1=000001223521&tclass2=000001234242&toukei=00600520&tstat=000001078042,2026-08-23,2024-04-01,2025-03-31,東京都市圏,e-Stat利用規約,ss506_r06a.xlsx,03_data/raw/traffic_simulation/demand_proxy/mlit_tokyo_metropolitan_goods_movement_survey_2024_20260823/ss506_r06a.xlsx,73eb66a33167b6126f13600fef7ecdf41d5861a5ea6a2541dc01b7caed79f31f,not_assigned,not_applicable,raw_acquired,宅配受取実態の集計表;配送車両数や配送停止数ではない;将来需要への変換はmodel assumptionとして別管理
mlit_tmgms_2024_ss507,東京都市圏物資流動調査 個人のモノの受取調査 ss507,国土交通省 / e-Stat,https://www.e-stat.go.jp/stat-search/files?layout=dataset&tclass1=000001223521&tclass2=000001234242&toukei=00600520&tstat=000001078042,2026-08-23,2024-04-01,2025-03-31,東京都市圏,e-Stat利用規約,ss507_r06a.xlsx,03_data/raw/traffic_simulation/demand_proxy/mlit_tokyo_metropolitan_goods_movement_survey_2024_20260823/ss507_r06a.xlsx,083273c09e8d4041a01c394fd5e8610aeb89a59db6c81adce524ce1b8e32071a,not_assigned,not_applicable,raw_acquired,宅配受取実態の集計表;配送車両数や配送停止数ではない;将来需要への変換はmodel assumptionとして別管理
mlit_tmgms_2024_ss508,東京都市圏物資流動調査 個人のモノの受取調査 ss508,国土交通省 / e-Stat,https://www.e-stat.go.jp/stat-search/files?layout=dataset&tclass1=000001223521&tclass2=000001234242&toukei=00600520&tstat=000001078042,2026-08-23,2024-04-01,2025-03-31,東京都市圏,e-Stat利用規約,ss508_r06a.xlsx,03_data/raw/traffic_simulation/demand_proxy/mlit_tokyo_metropolitan_goods_movement_survey_2024_20260823/ss508_r06a.xlsx,29a08234f6910f13cce24adcd6767fabeee7f4d34b36c79d283db039ddedee17,not_assigned,not_applicable,raw_acquired,宅配受取実態の集計表;配送車両数や配送停止数ではない;将来需要への変換はmodel assumptionとして別管理
mlit_tmgms_2024_ss510,東京都市圏物資流動調査 個人のモノの受取調査 ss510,国土交通省 / e-Stat,https://www.e-stat.go.jp/stat-search/files?layout=dataset&tclass1=000001223521&tclass2=000001234242&toukei=00600520&tstat=000001078042,2026-08-23,2024-04-01,2025-03-31,東京都市圏,e-Stat利用規約,ss510_r06a.xlsx,03_data/raw/traffic_simulation/demand_proxy/mlit_tokyo_metropolitan_goods_movement_survey_2024_20260823/ss510_r06a.xlsx,a38e5399e80cd13dda56b76fc61a6fc78a94460a952f3a154c844389abba34f0,not_assigned,not_applicable,raw_acquired,宅配受取実態の集計表;配送車両数や配送停止数ではない;将来需要への変換はmodel assumptionとして別管理
mlit_tmgms_2024_ss511,東京都市圏物資流動調査 個人のモノの受取調査 ss511,国土交通省 / e-Stat,https://www.e-stat.go.jp/stat-search/files?layout=dataset&tclass1=000001223521&tclass2=000001234242&toukei=00600520&tstat=000001078042,2026-08-23,2024-04-01,2025-03-31,東京都市圏,e-Stat利用規約,ss511_r06a.xlsx,03_data/raw/traffic_simulation/demand_proxy/mlit_tokyo_metropolitan_goods_movement_survey_2024_20260823/ss511_r06a.xlsx,d73dd4db2670a97ba1760439c0b9b8d8d624ff66baa385b97f319b3a0eadc5a6,not_assigned,not_applicable,raw_acquired,宅配受取実態の集計表;配送車両数や配送停止数ではない;将来需要への変換はmodel assumptionとして別管理
mlit_tmgms_2024_ss513,東京都市圏物資流動調査 個人のモノの受取調査 ss513,国土交通省 / e-Stat,https://www.e-stat.go.jp/stat-search/files?layout=dataset&tclass1=000001223521&tclass2=000001234242&toukei=00600520&tstat=000001078042,2026-08-23,2024-04-01,2025-03-31,東京都市圏,e-Stat利用規約,ss513_r06a.xlsx,03_data/raw/traffic_simulation/demand_proxy/mlit_tokyo_metropolitan_goods_movement_survey_2024_20260823/ss513_r06a.xlsx,31b3984ca7ba2c180091ac718908fc3ec971413ded92c9971822286f0f1e1484,not_assigned,not_applicable,raw_acquired,宅配受取実態の集計表;配送車両数や配送停止数ではない;将来需要への変換はmodel assumptionとして別管理
mlit_tmgms_2024_ss515,東京都市圏物資流動調査 個人のモノの受取調査 ss515,国土交通省 / e-Stat,https://www.e-stat.go.jp/stat-search/files?layout=dataset&tclass1=000001223521&tclass2=000001234242&toukei=00600520&tstat=000001078042,2026-08-23,2024-04-01,2025-03-31,東京都市圏,e-Stat利用規約,ss515_r06a.xlsx,03_data/raw/traffic_simulation/demand_proxy/mlit_tokyo_metropolitan_goods_movement_survey_2024_20260823/ss515_r06a.xlsx,f5ba4c857a58666d94bb0cda46c2ed4b6a4abcb1a8c2e0f43f5f2c7551167b70,not_assigned,not_applicable,raw_acquired,宅配受取実態の集計表;配送車両数や配送停止数ではない;将来需要への変換はmodel assumptionとして別管理
mlit_tmgms_2024_ss519,東京都市圏物資流動調査 個人のモノの受取調査 ss519,国土交通省 / e-Stat,https://www.e-stat.go.jp/stat-search/files?layout=dataset&tclass1=000001223521&tclass2=000001234242&toukei=00600520&tstat=000001078042,2026-08-23,2024-04-01,2025-03-31,東京都市圏,e-Stat利用規約,ss519_r06a.xlsx,03_data/raw/traffic_simulation/demand_proxy/mlit_tokyo_metropolitan_goods_movement_survey_2024_20260823/ss519_r06a.xlsx,aba7a02ba0e24dd50fd29dc1b249e47a90be7eee2df294ef5aaedb4833ed54db,not_assigned,not_applicable,raw_acquired,宅配受取実態の集計表;配送車両数や配送停止数ではない;将来需要への変換はmodel assumptionとして別管理
