file,reads,writes,imported_by,used_in_presentation,required_for_reproduction,decision
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_weakrefset.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_weakrefset.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/_weakrefset.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/_weakrefset.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/abc.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/abc.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/abc.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/abc.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/array.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/array.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/array.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/array.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/ast.data.json,_ast.Py; /opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/ast.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/ast.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/ast.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/__init__.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/__init__.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/base_events.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/base_events.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/base_events.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/base_events.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/coroutines.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/coroutines.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/coroutines.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/coroutines.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/events.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/events.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/events.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/events.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/exceptions.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/exceptions.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/exceptions.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/exceptions.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/futures.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/futures.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/futures.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/futures.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/locks.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/locks.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/locks.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/locks.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/mixins.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/mixins.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/mixins.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/mixins.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/protocols.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/protocols.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/protocols.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/protocols.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/queues.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/queues.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/queues.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/queues.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/runners.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/runners.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/runners.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/runners.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/selector_events.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/selector_events.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/selector_events.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/selector_events.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/streams.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/streams.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/streams.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/streams.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/subprocess.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/subprocess.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/subprocess.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/subprocess.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/taskgroups.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/taskgroups.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/taskgroups.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/taskgroups.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/tasks.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/tasks.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/tasks.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/tasks.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/threads.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/threads.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/threads.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/threads.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/timeouts.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/timeouts.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/timeouts.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/timeouts.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/transports.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/transports.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/transports.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/transports.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/unix_events.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/unix_events.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/asyncio/unix_events.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/asyncio/unix_events.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/bdb.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/bdb.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/bdb.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/bdb.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/builtins.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/builtins.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/builtins.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/builtins.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/cmd.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/cmd.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/cmd.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/cmd.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/codecs.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/codecs.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/codecs.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/codecs.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/collections/__init__.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/collections/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/collections/__init__.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/collections/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/collections/abc.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/collections/abc.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/collections/abc.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/collections/abc.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/__init__.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/__init__.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/futures/__init__.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/futures/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/futures/__init__.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/futures/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/futures/_base.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/futures/_base.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/futures/_base.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/futures/_base.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/futures/process.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/futures/process.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/futures/process.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/futures/process.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/futures/thread.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/futures/thread.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/concurrent/futures/thread.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/concurrent/futures/thread.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/contextlib.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/contextlib.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/contextlib.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/contextlib.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/contextvars.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/contextvars.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/contextvars.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/contextvars.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/copy.data.json,copy.Py; /opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/copy.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/copy.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/copy.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/copyreg.data.json,copyreg.pickle; /opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/copyreg.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/copyreg.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/copyreg.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/csv.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/csv.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/csv.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/csv.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/ctypes/__init__.data.json,ctypes.PY; ctypes.Py; ctypes.py; /opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/ctypes/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/ctypes/__init__.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/ctypes/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/dataclasses.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/dataclasses.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/dataclasses.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/dataclasses.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/datetime.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/datetime.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/datetime.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/datetime.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/decimal.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/decimal.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/decimal.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/decimal.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/dis.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/dis.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/dis.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/dis.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/email/__init__.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/email/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/email/__init__.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/email/__init__.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/email/charset.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/email/charset.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/email/charset.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/email/charset.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/email/contentmanager.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/email/contentmanager.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/email/contentmanager.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/email/contentmanager.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/email/errors.data.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/email/errors.pyi,,,pending exact asset match,likely,quarantine
/Users/tstakuma/Desktop/github/research/.mypy_cache/3.11/email/errors.meta.json,/opt/anaconda3/lib/python3.11/site-packages/mypy/typeshed/stdlib/email/errors.pyi,,,pending exact asset match,likely,quarantine
