base_route_proxy_id,customer_configuration_id,customer_count,vehicle_count,seed,route_index,depot_candidate_id,eligible_depot_candidate_count,selected_depot_count,customer_count_on_route,haversine_distance_km,road_adjusted_distance_km,network_distance_km,route_proxy_distance_km,route_total_demand_kg,service_time_total_min,route_generation_method,route_proxy_limitation
C025_V01_S001_R01,C025_S001,25,1,1,1,DEP_022,440,1,25,143.96244234921434,179.95305293651793,,179.95305293651793,464.0,254.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S003_R01,C025_S003,25,5,3,1,DEP_071,440,1,6,58.228123702156076,72.78515462769509,,72.78515462769509,109.0,49.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S003_R02,C025_S003,25,5,3,2,DEP_071,440,1,7,47.84996775550782,59.81245969438477,,59.81245969438477,114.0,79.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S003_R03,C025_S003,25,5,3,3,DEP_071,440,1,4,48.05621595472094,60.07026994340117,,60.07026994340117,64.0,42.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S003_R04,C025_S003,25,5,3,4,DEP_071,440,1,3,66.60150292259317,83.25187865324146,,83.25187865324146,49.0,41.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S003_R05,C025_S003,25,5,3,5,DEP_071,440,1,5,37.13069699042208,46.4133712380276,,46.4133712380276,100.0,46.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S004_R01,C025_S004,25,1,4,1,DEP_022,440,1,25,170.67673998249117,213.34592497811397,,213.34592497811397,492.0,239.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S004_R01,C025_S004,25,3,4,1,DEP_022,440,1,10,71.9300197468514,89.91252468356424,,89.91252468356424,200.0,108.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S004_R02,C025_S004,25,3,4,2,DEP_022,440,1,7,77.61981103185796,97.02476378982246,,97.02476378982246,125.0,63.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S004_R03,C025_S004,25,3,4,3,DEP_022,440,1,8,53.78166605691686,67.22708257114607,,67.22708257114607,167.0,68.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S004_R01,C025_S004,25,5,4,1,DEP_022,440,1,7,46.46667894919686,58.08334868649608,,58.08334868649608,152.0,59.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S004_R02,C025_S004,25,5,4,2,DEP_022,440,1,2,64.09285494949407,80.11606868686758,,80.11606868686758,19.0,24.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S004_R03,C025_S004,25,5,4,3,DEP_022,440,1,6,54.9572976907523,68.69662211344037,,68.69662211344037,122.0,54.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S004_R04,C025_S004,25,5,4,4,DEP_022,440,1,5,46.68834552797523,58.36043190996904,,58.36043190996904,106.0,39.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S004_R05,C025_S004,25,5,4,5,DEP_022,440,1,5,37.63608421190503,47.045105264881286,,47.045105264881286,93.0,63.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S005_R01,C025_S005,25,1,5,1,DEP_438,440,1,25,143.08014884264355,178.85018605330444,,178.85018605330444,504.0,238.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S005_R01,C025_S005,25,3,5,1,DEP_438,440,1,7,57.79097204044224,72.2387150505528,,72.2387150505528,124.0,70.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S005_R02,C025_S005,25,3,5,2,DEP_438,440,1,12,54.091593825346706,67.61449228168338,,67.61449228168338,258.0,101.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S005_R03,C025_S005,25,3,5,3,DEP_438,440,1,6,65.12004399816722,81.40005499770902,,81.40005499770902,122.0,67.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S005_R01,C025_S005,25,5,5,1,DEP_438,440,1,4,45.383468103476346,56.72933512934543,,56.72933512934543,78.0,31.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S005_R02,C025_S005,25,5,5,2,DEP_438,440,1,9,35.29714828629994,44.12143535787492,,44.12143535787492,186.0,74.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S005_R03,C025_S005,25,5,5,3,DEP_438,440,1,4,53.29409252009066,66.61761565011332,,66.61761565011332,81.0,43.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S005_R04,C025_S005,25,5,5,4,DEP_438,440,1,3,44.43472663864796,55.54340829830995,,55.54340829830995,46.0,39.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S005_R05,C025_S005,25,5,5,5,DEP_438,440,1,5,30.886217906841164,38.607772383551456,,38.607772383551456,113.0,51.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S006_R01,C025_S006,25,1,6,1,DEP_438,440,1,25,179.10453594269967,223.88066992837457,,223.88066992837457,423.0,240.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S006_R01,C025_S006,25,3,6,1,DEP_438,440,1,7,56.877009785367065,71.09626223170883,,71.09626223170883,118.0,55.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S006_R02,C025_S006,25,3,6,2,DEP_438,440,1,8,88.54381699961505,110.67977124951881,,110.67977124951881,133.0,83.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S006_R03,C025_S006,25,3,6,3,DEP_438,440,1,10,64.56145973535139,80.70182466918924,,80.70182466918924,172.0,102.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S006_R01,C025_S006,25,5,6,1,DEP_438,440,1,7,56.877009785367065,71.09626223170883,,71.09626223170883,118.0,55.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S006_R02,C025_S006,25,5,6,2,DEP_438,440,1,3,71.73150780910763,89.66438476138453,,89.66438476138453,46.0,29.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S006_R03,C025_S006,25,5,6,3,DEP_438,440,1,4,35.431736198426975,44.289670248033715,,44.289670248033715,82.0,43.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S006_R04,C025_S006,25,5,6,4,DEP_438,440,1,7,46.07142845064074,57.58928556330092,,57.58928556330092,113.0,71.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S006_R05,C025_S006,25,5,6,5,DEP_438,440,1,4,50.01444820891287,62.51806026114109,,62.51806026114109,64.0,42.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S007_R01,C025_S007,25,1,7,1,DEP_438,440,1,25,213.7074669140369,267.13433364254615,,267.13433364254615,453.0,253.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S007_R01,C025_S007,25,3,7,1,DEP_438,440,1,10,68.67748260919804,85.84685326149754,,85.84685326149754,195.0,98.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S007_R02,C025_S007,25,3,7,2,DEP_438,440,1,5,92.28479692861495,115.35599616076868,,115.35599616076868,98.0,53.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S007_R03,C025_S007,25,3,7,3,DEP_438,440,1,10,83.49683892606264,104.3710486575783,,104.3710486575783,160.0,102.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S007_R01,C025_S007,25,5,7,1,DEP_438,440,1,5,43.42537801163872,54.2817225145484,,54.2817225145484,86.0,57.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S007_R02,C025_S007,25,5,7,2,DEP_438,440,1,7,61.09807224116983,76.37259030146228,,76.37259030146228,133.0,65.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S007_R03,C025_S007,25,5,7,3,DEP_438,440,1,7,52.28102224733783,65.35127780917229,,65.35127780917229,124.0,66.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S007_R04,C025_S007,25,5,7,4,DEP_438,440,1,1,69.96971649277873,87.46214561597341,,87.46214561597341,17.0,9.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S007_R05,C025_S007,25,5,7,5,DEP_438,440,1,5,29.36800144773715,36.71000180967144,,36.71000180967144,93.0,56.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S008_R01,C025_S008,25,1,8,1,DEP_438,440,1,25,184.15107763166944,230.1888470395868,,230.1888470395868,447.0,230.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S008_R01,C025_S008,25,3,8,1,DEP_438,440,1,12,65.19011679592703,81.48764599490877,,81.48764599490877,233.0,116.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S008_R02,C025_S008,25,3,8,2,DEP_438,440,1,8,58.640143822389916,73.3001797779874,,73.3001797779874,135.0,63.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S008_R03,C025_S008,25,3,8,3,DEP_438,440,1,5,84.87329464267242,106.09161830334052,,106.09161830334052,79.0,51.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S008_R01,C025_S008,25,5,8,1,DEP_438,440,1,8,58.640143822389916,73.3001797779874,,73.3001797779874,135.0,63.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S008_R02,C025_S008,25,5,8,2,DEP_438,440,1,7,42.67198144934905,53.33997681168631,,53.33997681168631,113.0,69.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S008_R03,C025_S008,25,5,8,3,DEP_438,440,1,4,73.72438779586234,92.15548474482793,,92.15548474482793,51.0,40.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S008_R04,C025_S008,25,5,8,4,DEP_438,440,1,1,51.59839014424687,64.49798768030858,,64.49798768030858,28.0,11.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S008_R05,C025_S008,25,5,8,5,DEP_438,440,1,5,49.57837265867526,61.97296582334408,,61.97296582334408,120.0,47.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S009_R01,C025_S009,25,1,9,1,DEP_438,440,1,25,194.96693552798803,243.70866940998502,,243.70866940998502,445.0,265.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S009_R01,C025_S009,25,3,9,1,DEP_438,440,1,13,74.67804027384291,93.34755034230363,,93.34755034230363,190.0,133.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S009_R02,C025_S009,25,3,9,2,DEP_438,440,1,5,99.12444685699668,123.90555857124585,,123.90555857124585,119.0,47.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S009_R03,C025_S009,25,3,9,3,DEP_438,440,1,7,53.32931910974351,66.66164888717938,,66.66164888717938,136.0,85.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S009_R01,C025_S009,25,5,9,1,DEP_438,440,1,5,37.93168196209935,47.41460245262418,,47.41460245262418,56.0,60.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S009_R02,C025_S009,25,5,9,2,DEP_438,440,1,3,72.21110752103121,90.263884401289,,90.263884401289,75.0,26.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S009_R03,C025_S009,25,5,9,3,DEP_438,440,1,10,59.46508544664505,74.33135680830631,,74.33135680830631,175.0,96.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S009_R04,C025_S009,25,5,9,4,DEP_438,440,1,2,55.897279502334285,69.87159937791786,,69.87159937791786,44.0,21.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S009_R05,C025_S009,25,5,9,5,DEP_438,440,1,5,50.477124578064064,63.09640572258008,,63.09640572258008,95.0,62.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S010_R01,C025_S010,25,1,10,1,DEP_022,440,1,25,169.03417898217296,211.2927237277162,,211.2927237277162,488.0,272.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S010_R01,C025_S010,25,3,10,1,DEP_022,440,1,6,27.628034559284217,34.535043199105274,,34.535043199105274,95.0,76.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S010_R02,C025_S010,25,3,10,2,DEP_022,440,1,14,104.5166853177433,130.64585664717913,,130.64585664717913,280.0,142.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S010_R03,C025_S010,25,3,10,3,DEP_022,440,1,5,58.904453395112476,73.6305667438906,,73.6305667438906,113.0,54.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S010_R01,C025_S010,25,5,10,1,DEP_022,440,1,9,55.10288184240201,68.87860230300251,,68.87860230300251,194.0,97.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S010_R02,C025_S010,25,5,10,2,DEP_022,440,1,5,58.904453395112476,73.6305667438906,,73.6305667438906,113.0,54.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S010_R03,C025_S010,25,5,10,3,DEP_022,440,1,5,37.164187591150394,46.45523448893799,,46.45523448893799,82.0,48.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S010_R04,C025_S010,25,5,10,4,DEP_022,440,1,5,20.08726118554645,25.109076481933062,,25.109076481933062,87.0,62.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S010_R05,C025_S010,25,5,10,5,DEP_022,440,1,1,51.90014353604852,64.87517942006065,,64.87517942006065,12.0,11.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S011_R01,C025_S011,25,1,11,1,DEP_438,440,1,25,206.142973083659,257.67871635457374,,257.67871635457374,501.0,263.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S011_R01,C025_S011,25,3,11,1,DEP_438,440,1,10,54.20710339075831,67.75887923844789,,67.75887923844789,212.0,104.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S011_R02,C025_S011,25,3,11,2,DEP_438,440,1,3,85.67493527657965,107.09366909572455,,107.09366909572455,56.0,36.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S011_R03,C025_S011,25,3,11,3,DEP_438,440,1,12,94.67217628362994,118.34022035453742,,118.34022035453742,233.0,123.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S011_R01,C025_S011,25,5,11,1,DEP_438,440,1,8,30.510996162808574,38.138745203510716,,38.138745203510716,189.0,69.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S011_R02,C025_S011,25,5,11,2,DEP_438,440,1,5,49.165016353224644,61.456270441530805,,61.456270441530805,80.0,55.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S011_R03,C025_S011,25,5,11,3,DEP_438,440,1,3,85.67493527657965,107.09366909572455,,107.09366909572455,56.0,36.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S011_R04,C025_S011,25,5,11,4,DEP_438,440,1,5,43.88910105119196,54.86137631398995,,54.86137631398995,100.0,55.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S011_R05,C025_S011,25,5,11,5,DEP_438,440,1,4,40.45704283508809,50.57130354386011,,50.57130354386011,76.0,48.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V01_S012_R01,C025_S012,25,1,12,1,DEP_022,440,1,25,205.02831696506672,256.2853962063334,,256.2853962063334,480.0,226.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S012_R01,C025_S012,25,3,12,1,DEP_022,440,1,9,70.45365726429051,88.06707158036315,,88.06707158036315,144.0,88.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S012_R02,C025_S012,25,3,12,2,DEP_022,440,1,10,88.93797730170041,111.17247162712552,,111.17247162712552,190.0,78.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V03_S012_R03,C025_S012,25,3,12,3,DEP_022,440,1,6,54.57332528408251,68.21665660510314,,68.21665660510314,146.0,60.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S012_R01,C025_S012,25,5,12,1,DEP_022,440,1,4,37.20702304313856,46.50877880392321,,46.50877880392321,88.0,43.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S012_R02,C025_S012,25,5,12,2,DEP_022,440,1,5,58.45270019943681,73.06587524929601,,73.06587524929601,82.0,39.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
C025_V05_S012_R03,C025_S012,25,5,12,3,DEP_022,440,1,3,39.24064667080496,49.0508083385062,,49.0508083385062,74.0,24.0,KMeans assignment plus nearest-neighbor visit-order proxy,Not an EVRP optimum; not time-window/SOC optimized; not a road-network path.
