name,file,schema,data_type,semantic_meaning,unit,provenance,cardinality,non_null_distinct,null_count,null_rate,uniqueness,current_use
cell_09,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_09; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,0,44,1.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_10,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/catalog.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_10; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,44,0,44,1.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
source_row,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=integer,upstream table row reference,row index,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,291,0,0.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
row_type,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column row_type; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,4,0,0.0,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_01,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column cell_01; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,19,2,0.006872852233676976,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_02,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column cell_02; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,17,4,0.013745704467353952,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_03,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column cell_03; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,58,4,0.013745704467353952,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_04,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column cell_04; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,58,4,0.013745704467353952,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_05,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column cell_05; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,43,4,0.013745704467353952,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_06,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column cell_06; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,43,4,0.013745704467353952,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_07,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column cell_07; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,287,4,0.013745704467353952,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_08,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column cell_08; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,6,4,0.013745704467353952,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_09,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/region.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09,CSV UTF-8 text; logical=string,source column cell_09; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,291,287,4,0.013745704467353952,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
source_row,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss515.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05,CSV UTF-8 text; logical=integer,upstream table row reference,row index,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,15,15,0,0.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
row_type,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss515.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05,CSV UTF-8 text; logical=string,source column row_type; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,15,3,0,0.0,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_01,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss515.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05,CSV UTF-8 text; logical=string,source column cell_01; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,15,11,4,0.26666666666666666,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_02,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss515.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05,CSV UTF-8 text; logical=string,source column cell_02; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,15,6,9,0.6,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_03,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss515.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05,CSV UTF-8 text; logical=string,source column cell_03; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,15,7,8,0.5333333333333333,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_04,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss515.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05,CSV UTF-8 text; logical=string,source column cell_04; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,15,0,15,1.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_05,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss515.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05,CSV UTF-8 text; logical=string,source column cell_05; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,15,0,15,1.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
source_row,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=integer,upstream table row reference,row index,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,253,0,0.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
row_type,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column row_type; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,3,0,0.0,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_01,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_01; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,15,4,0.015810276679841896,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_02,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_02; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,4,9,0.03557312252964427,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_03,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_03; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,4,9,0.03557312252964427,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_04,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_04; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,4,9,0.03557312252964427,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_05,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_05; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,11,9,0.03557312252964427,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_06,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_06; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,5,9,0.03557312252964427,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_07,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_07; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,5,9,0.03557312252964427,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_08,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_08; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,5,9,0.03557312252964427,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_09,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_09; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,232,8,0.03162055335968379,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_10,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss523.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07;cell_08;cell_09;cell_10,CSV UTF-8 text; logical=string,source column cell_10; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,253,228,9,0.03557312252964427,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
source_row,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss531.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07,CSV UTF-8 text; logical=integer,upstream table row reference,row index,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,209,209,0,0.0,UNIQUE_NON_NULL,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
row_type,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss531.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07,CSV UTF-8 text; logical=string,source column row_type; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,209,4,0,0.0,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_01,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss531.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07,CSV UTF-8 text; logical=string,source column cell_01; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,209,11,3,0.014354066985645933,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
cell_02,03_data/processed/traffic_simulation/demand/household_parcel_v1/additional/ss531.csv,source_row;row_type;cell_01;cell_02;cell_03;cell_04;cell_05;cell_06;cell_07,CSV UTF-8 text; logical=string,source column cell_02; detailed operational semantics NOT_ESTABLISHED; no promotion to request/event evidence,source unit column if present; otherwise NOT_ESTABLISHED,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC; source byte hash in INSPECTED_FILES.csv; no generator reproduction claim,209,6,8,0.03827751196172249,NOT_UNIQUE,CANDIDATE_SAVED_SYNTHETIC_OR_SOURCE_STATISTIC
