parameter,level,parameter_value,constraint_name,route_weighted_unmet_rate,evaluated_route_count,unmet_route_count,customer_count_for_evaluation,vehicle_count_for_evaluation,charger_condition_for_evaluation,independent_seed_count,sensitivity_design,evidence_status,base_unmet_rate,unmet_rate_change_from_base
assumed_speed_kmh,low,20.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
assumed_speed_kmh,high,30.0,Operating-time limit,0.16,300,48,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,-0.22333333333333336
assumed_speed_kmh,high,30.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
assumed_speed_kmh,high,30.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
assumed_speed_kmh,high,30.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
assumed_speed_kmh,high,30.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
road_distance_multiplier,low,1.1,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
road_distance_multiplier,low,1.1,Operating-time limit,0.19666666666666666,300,59,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,-0.1866666666666667
road_distance_multiplier,low,1.1,Range feasibility,0.84,300,252,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,-0.09999999999999998
road_distance_multiplier,low,1.1,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
road_distance_multiplier,low,1.1,Charging-assisted range feasibility,0.011904761904761904,252,3,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,-0.044832826747720364
road_distance_multiplier,low,1.1,Charging-duration feasibility,0.0,252,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
road_distance_multiplier,base,1.25,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
road_distance_multiplier,base,1.25,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0
road_distance_multiplier,base,1.25,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
road_distance_multiplier,base,1.25,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
road_distance_multiplier,base,1.25,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
road_distance_multiplier,base,1.25,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
road_distance_multiplier,high,1.4,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
road_distance_multiplier,high,1.4,Operating-time limit,0.49666666666666665,300,149,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.11333333333333329
road_distance_multiplier,high,1.4,Range feasibility,0.9766666666666667,300,293,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.036666666666666736
road_distance_multiplier,high,1.4,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
road_distance_multiplier,high,1.4,Charging-assisted range feasibility,0.12286689419795221,293,36,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.06612930554546995
road_distance_multiplier,high,1.4,Charging-duration feasibility,0.006825938566552901,293,2,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.006825938566552901
service_time_per_customer_min,low,5.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
service_time_per_customer_min,low,5.0,Operating-time limit,0.056666666666666664,300,17,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.35333333333333333,-0.2966666666666667
service_time_per_customer_min,low,5.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
service_time_per_customer_min,low,5.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
service_time_per_customer_min,low,5.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
service_time_per_customer_min,low,5.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
service_time_per_customer_min,base,10.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
service_time_per_customer_min,base,10.0,Operating-time limit,0.35333333333333333,300,106,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.35333333333333333,0.0
service_time_per_customer_min,base,10.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
service_time_per_customer_min,base,10.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
service_time_per_customer_min,base,10.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
service_time_per_customer_min,base,10.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
service_time_per_customer_min,high,15.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
service_time_per_customer_min,high,15.0,Operating-time limit,0.6633333333333333,300,199,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.35333333333333333,0.31
service_time_per_customer_min,high,15.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
service_time_per_customer_min,high,15.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
service_time_per_customer_min,high,15.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
service_time_per_customer_min,high,15.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
operating_time_limit_min,low,360.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
operating_time_limit_min,low,360.0,Operating-time limit,0.8266666666666667,300,248,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.4433333333333333
operating_time_limit_min,low,360.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
operating_time_limit_min,low,360.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
operating_time_limit_min,low,360.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
operating_time_limit_min,low,360.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
operating_time_limit_min,base,480.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
operating_time_limit_min,base,480.0,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0
operating_time_limit_min,base,480.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
operating_time_limit_min,base,480.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
operating_time_limit_min,base,480.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
operating_time_limit_min,base,480.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
operating_time_limit_min,high,600.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
operating_time_limit_min,high,600.0,Operating-time limit,0.04666666666666667,300,14,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,-0.33666666666666667
operating_time_limit_min,high,600.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
operating_time_limit_min,high,600.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
operating_time_limit_min,high,600.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
operating_time_limit_min,high,600.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
vehicle_count,low,1.0,Payload capacity,0.0,100,0,50,1,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
vehicle_count,low,1.0,Operating-time limit,1.0,100,100,50,1,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.6166666666666667
vehicle_count,low,1.0,Range feasibility,1.0,100,100,50,1,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.06000000000000005
vehicle_count,low,1.0,Charging-station access,0.0,100,0,50,1,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
vehicle_count,low,1.0,Charging-assisted range feasibility,1.0,100,100,50,1,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.9432624113475178
vehicle_count,low,1.0,Charging-duration feasibility,1.0,100,100,50,1,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,1.0
vehicle_count,base,3.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
vehicle_count,base,3.0,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0
vehicle_count,base,3.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
vehicle_count,base,3.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
vehicle_count,base,3.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
vehicle_count,base,3.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
vehicle_count,high,5.0,Payload capacity,0.0,500,0,50,5,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
vehicle_count,high,5.0,Operating-time limit,0.008,500,4,50,5,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,-0.37533333333333335
vehicle_count,high,5.0,Range feasibility,0.412,500,206,50,5,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,-0.528
vehicle_count,high,5.0,Charging-station access,0.0,500,0,50,5,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
vehicle_count,high,5.0,Charging-assisted range feasibility,0.0048543689320388345,206,1,50,5,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,-0.051883219720443435
vehicle_count,high,5.0,Charging-duration feasibility,0.0,206,0,50,5,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
customer_count,low,25.0,Payload capacity,0.0,300,0,25,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
customer_count,low,25.0,Operating-time limit,0.016666666666666666,300,5,25,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,-0.3666666666666667
customer_count,low,25.0,Range feasibility,0.6233333333333333,300,187,25,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,-0.31666666666666665
customer_count,low,25.0,Charging-station access,0.0,300,0,25,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
customer_count,low,25.0,Charging-assisted range feasibility,0.0,187,0,25,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,-0.05673758865248227
customer_count,low,25.0,Charging-duration feasibility,0.0,187,0,25,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
customer_count,base,50.0,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
customer_count,base,50.0,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0
customer_count,base,50.0,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
customer_count,base,50.0,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
customer_count,base,50.0,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
customer_count,base,50.0,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
customer_count,high,100.0,Payload capacity,0.0,300,0,100,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
customer_count,high,100.0,Operating-time limit,0.99,300,297,100,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.6066666666666667
customer_count,high,100.0,Range feasibility,1.0,300,300,100,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.06000000000000005
customer_count,high,100.0,Charging-station access,0.0,300,0,100,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
customer_count,high,100.0,Charging-assisted range feasibility,0.44,300,132,100,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.3832624113475177
customer_count,high,100.0,Charging-duration feasibility,0.04666666666666667,300,14,100,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.04666666666666667
usable_battery_ratio,low,0.6,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
usable_battery_ratio,low,0.6,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0
usable_battery_ratio,low,0.6,Range feasibility,0.9933333333333333,300,298,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.053333333333333344
usable_battery_ratio,low,0.6,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
usable_battery_ratio,low,0.6,Charging-assisted range feasibility,0.17114093959731544,298,51,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.11440335094483317
usable_battery_ratio,low,0.6,Charging-duration feasibility,0.0,298,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
usable_battery_ratio,base,0.7,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
usable_battery_ratio,base,0.7,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0
usable_battery_ratio,base,0.7,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
usable_battery_ratio,base,0.7,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
usable_battery_ratio,base,0.7,Charging-assisted range feasibility,0.05673758865248227,282,16,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,0.0
usable_battery_ratio,base,0.7,Charging-duration feasibility,0.0,282,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
usable_battery_ratio,high,0.8,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
usable_battery_ratio,high,0.8,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0
usable_battery_ratio,high,0.8,Range feasibility,0.8233333333333334,300,247,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,-0.11666666666666659
usable_battery_ratio,high,0.8,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
usable_battery_ratio,high,0.8,Charging-assisted range feasibility,0.012145748987854251,247,3,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,-0.044591839664628014
usable_battery_ratio,high,0.8,Charging-duration feasibility,0.0,247,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
reserve_soc_ratio,low,0.1,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
reserve_soc_ratio,low,0.1,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0
reserve_soc_ratio,low,0.1,Range feasibility,0.8233333333333334,300,247,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,-0.11666666666666659
reserve_soc_ratio,low,0.1,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
reserve_soc_ratio,low,0.1,Charging-assisted range feasibility,0.012145748987854251,247,3,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.05673758865248227,-0.044591839664628014
reserve_soc_ratio,low,0.1,Charging-duration feasibility,0.0,247,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
reserve_soc_ratio,base,0.2,Payload capacity,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
reserve_soc_ratio,base,0.2,Operating-time limit,0.38333333333333336,300,115,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.38333333333333336,0.0
reserve_soc_ratio,base,0.2,Range feasibility,0.94,300,282,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.94,0.0
reserve_soc_ratio,base,0.2,Charging-station access,0.0,300,0,50,3,balanced,100,Three-level one-at-a-time paired-seed analysis,Exploratory parameter sensitivity; not calibrated operational evidence,0.0,0.0
