origin_region,city,industry_group,distance_km,car_dependency,time_cost,non_energy_cost,base_energy_cost_per_km,flow_count
埼玉,仙台,化学・高分子素材群,288.8,0.443,3765.3,1593.9,6.0,9
埼玉,仙台,無機素材群,288.8,0.443,3765.3,1593.9,6.0,19
埼玉,名古屋,金属素材群,259.1,0.455,3409.7,1445.7,6.0,2
埼玉,名古屋,化学・高分子素材群,259.1,0.455,3409.7,1445.7,6.0,12
埼玉,名古屋,無機素材群,259.1,0.455,3409.7,1445.7,6.0,16
埼玉,広島,金属素材群,674.0,0.468,8388.5,3520.2,6.0,0
埼玉,広島,化学・高分子素材群,674.0,0.468,8388.5,3520.2,6.0,2
埼玉,広島,無機素材群,674.0,0.468,8388.5,3520.2,6.0,13
埼玉,福岡,金属素材群,881.3,0.43,10875.9,4556.6,6.0,0
埼玉,福岡,化学・高分子素材群,881.3,0.43,10875.9,4556.6,6.0,5
埼玉,福岡,無機素材群,881.3,0.43,10875.9,4556.6,6.0,6
千葉,東京,金属素材群,38.6,0.275,762.9,342.9,6.0,84
千葉,東京,化学・高分子素材群,38.6,0.275,762.9,342.9,6.0,42
千葉,東京,無機素材群,38.6,0.275,762.9,342.9,6.0,162
千葉,大阪,金属素材群,430.7,0.387,5468.5,2303.5,6.0,3
千葉,大阪,化学・高分子素材群,430.7,0.387,5468.5,2303.5,6.0,8
千葉,大阪,無機素材群,430.7,0.387,5468.5,2303.5,6.0,43
千葉,札幌,金属素材群,835.8,0.488,10329.4,4328.9,6.0,0
千葉,札幌,化学・高分子素材群,835.8,0.488,10329.4,4328.9,6.0,2
千葉,札幌,無機素材群,835.8,0.488,10329.4,4328.9,6.0,11
千葉,仙台,金属素材群,303.5,0.463,3942.4,1667.7,6.0,4
千葉,仙台,化学・高分子素材群,303.5,0.463,3942.4,1667.7,6.0,10
千葉,仙台,無機素材群,303.5,0.463,3942.4,1667.7,6.0,27
千葉,名古屋,金属素材群,293.9,0.475,3826.6,1619.4,6.0,6
千葉,名古屋,化学・高分子素材群,293.9,0.475,3826.6,1619.4,6.0,8
千葉,名古屋,無機素材群,293.9,0.475,3826.6,1619.4,6.0,39
千葉,広島,金属素材群,709.9,0.488,8818.4,3699.3,6.0,0
千葉,広島,化学・高分子素材群,709.9,0.488,8818.4,3699.3,6.0,8
千葉,広島,無機素材群,709.9,0.488,8818.4,3699.3,6.0,26
千葉,福岡,金属素材群,915.7,0.45,11288.7,4728.6,6.0,2
千葉,福岡,化学・高分子素材群,915.7,0.45,11288.7,4728.6,6.0,2
千葉,福岡,無機素材群,915.7,0.45,11288.7,4728.6,6.0,23
神奈川,東京,金属素材群,27.2,0.255,626.9,286.2,6.0,75
神奈川,東京,化学・高分子素材群,27.2,0.255,626.9,286.2,6.0,109
神奈川,東京,無機素材群,27.2,0.255,626.9,286.2,6.0,119
神奈川,大阪,金属素材群,386.0,0.368,4931.6,2079.9,6.0,5
神奈川,大阪,化学・高分子素材群,386.0,0.368,4931.6,2079.9,6.0,14
神奈川,大阪,無機素材群,386.0,0.368,4931.6,2079.9,6.0,33
神奈川,札幌,金属素材群,859.3,0.468,10611.8,4446.6,6.0,1
神奈川,札幌,化学・高分子素材群,859.3,0.468,10611.8,4446.6,6.0,5
神奈川,札幌,無機素材群,859.3,0.468,10611.8,4446.6,6.0,11
神奈川,仙台,金属素材群,332.1,0.443,4284.7,1810.3,6.0,2
神奈川,仙台,化学・高分子素材群,332.1,0.443,4284.7,1810.3,6.0,10
神奈川,仙台,無機素材群,332.1,0.443,4284.7,1810.3,6.0,20
神奈川,名古屋,金属素材群,250.0,0.455,3299.9,1400.0,6.0,7
神奈川,名古屋,化学・高分子素材群,250.0,0.455,3299.9,1400.0,6.0,13
神奈川,名古屋,無機素材群,250.0,0.455,3299.9,1400.0,6.0,23
神奈川,広島,金属素材群,665.7,0.468,8288.6,3478.6,6.0,1
神奈川,広島,化学・高分子素材群,665.7,0.468,8288.6,3478.6,6.0,5
神奈川,広島,無機素材群,665.7,0.468,8288.6,3478.6,6.0,9
神奈川,福岡,金属素材群,871.1,0.43,10753.0,4505.4,6.0,2
神奈川,福岡,化学・高分子素材群,871.1,0.43,10753.0,4505.4,6.0,10
神奈川,福岡,無機素材群,871.1,0.43,10753.0,4505.4,6.0,7
新潟,東京,金属素材群,253.1,0.535,3337.6,1415.7,6.0,4
新潟,東京,化学・高分子素材群,253.1,0.535,3337.6,1415.7,6.0,18
新潟,東京,無機素材群,253.1,0.535,3337.6,1415.7,6.0,13
新潟,大阪,金属素材群,476.2,0.547,6014.4,2531.0,6.0,2
新潟,大阪,化学・高分子素材群,476.2,0.547,6014.4,2531.0,6.0,9
新潟,大阪,無機素材群,476.2,0.547,6014.4,2531.0,6.0,13
新潟,札幌,金属素材群,606.6,0.648,7579.0,3182.9,6.0,0
新潟,札幌,化学・高分子素材群,606.6,0.648,7579.0,3182.9,6.0,6
新潟,札幌,無機素材群,606.6,0.648,7579.0,3182.9,6.0,3
新潟,仙台,金属素材群,166.6,0.623,2299.5,983.1,6.0,0
新潟,仙台,化学・高分子素材群,166.6,0.623,2299.5,983.1,6.0,5
新潟,仙台,無機素材群,166.6,0.623,2299.5,983.1,6.0,20
新潟,名古屋,金属素材群,356.7,0.635,4580.8,1933.7,6.0,1
新潟,名古屋,化学・高分子素材群,356.7,0.635,4580.8,1933.7,6.0,4
新潟,名古屋,無機素材群,356.7,0.635,4580.8,1933.7,6.0,4
新潟,広島,金属素材群,707.3,0.648,8788.1,3686.7,6.0,0
新潟,広島,化学・高分子素材群,707.3,0.648,8788.1,3686.7,6.0,1
新潟,広島,無機素材群,707.3,0.648,8788.1,3686.7,6.0,9
新潟,福岡,金属素材群,913.3,0.61,11259.9,4716.6,6.0,1
新潟,福岡,化学・高分子素材群,913.3,0.61,11259.9,4716.6,6.0,1
新潟,福岡,無機素材群,913.3,0.61,11259.9,4716.6,6.0,5
長野,東京,金属素材群,172.7,0.555,2372.4,1013.5,6.0,12
長野,東京,化学・高分子素材群,172.7,0.555,2372.4,1013.5,6.0,20
長野,東京,無機素材群,172.7,0.555,2372.4,1013.5,6.0,50
長野,大阪,金属素材群,325.4,0.567,4205.3,1777.2,6.0,1
長野,大阪,化学・高分子素材群,325.4,0.567,4205.3,1777.2,6.0,10
長野,大阪,無機素材群,325.4,0.567,4205.3,1777.2,6.0,38
長野,札幌,金属素材群,762.4,0.667,9448.7,3962.0,6.0,1
長野,札幌,化学・高分子素材群,762.4,0.667,9448.7,3962.0,6.0,3
長野,札幌,無機素材群,762.4,0.667,9448.7,3962.0,6.0,8
長野,仙台,金属素材群,297.7,0.642,3872.2,1638.4,6.0,1
長野,仙台,化学・高分子素材群,297.7,0.642,3872.2,1638.4,6.0,7
長野,仙台,無機素材群,297.7,0.642,3872.2,1638.4,6.0,24
長野,名古屋,金属素材群,199.7,0.655,2696.4,1148.5,6.0,4
長野,名古屋,化学・高分子素材群,199.7,0.655,2696.4,1148.5,6.0,11
長野,名古屋,無機素材群,199.7,0.655,2696.4,1148.5,6.0,33
長野,広島,金属素材群,576.1,0.667,7212.9,3030.4,6.0,0
長野,広島,化学・高分子素材群,576.1,0.667,7212.9,3030.4,6.0,2
長野,広島,無機素材群,576.1,0.667,7212.9,3030.4,6.0,15
長野,福岡,金属素材群,784.8,0.63,9717.6,4074.0,6.0,1
長野,福岡,化学・高分子素材群,784.8,0.63,9717.6,4074.0,6.0,1
長野,福岡,無機素材群,784.8,0.63,9717.6,4074.0,6.0,17
静岡,東京,金属素材群,142.7,0.495,2012.7,863.6,6.0,8
静岡,東京,化学・高分子素材群,142.7,0.495,2012.7,863.6,6.0,17
静岡,東京,無機素材群,142.7,0.495,2012.7,863.6,6.0,81
静岡,大阪,金属素材群,264.8,0.507,3477.5,1474.0,6.0,1
静岡,大阪,化学・高分子素材群,264.8,0.507,3477.5,1474.0,6.0,13
静岡,大阪,無機素材群,264.8,0.507,3477.5,1474.0,6.0,20
静岡,札幌,金属素材群,934.8,0.608,11517.1,4823.8,6.0,1
静岡,札幌,化学・高分子素材群,934.8,0.608,11517.1,4823.8,6.0,2
静岡,札幌,無機素材群,934.8,0.608,11517.1,4823.8,6.0,10
静岡,仙台,金属素材群,427.9,0.583,5435.3,2289.7,6.0,2
静岡,仙台,化学・高分子素材群,427.9,0.583,5435.3,2289.7,6.0,5
静岡,仙台,無機素材群,427.9,0.583,5435.3,2289.7,6.0,22
静岡,名古屋,金属素材群,136.3,0.595,1935.2,831.3,6.0,2
静岡,名古屋,化学・高分子素材群,136.3,0.595,1935.2,831.3,6.0,11
静岡,名古屋,無機素材群,136.3,0.595,1935.2,831.3,6.0,57
静岡,広島,金属素材群,545.9,0.608,6851.1,2879.6,6.0,1
静岡,広島,化学・高分子素材群,545.9,0.608,6851.1,2879.6,6.0,2
静岡,広島,無機素材群,545.9,0.608,6851.1,2879.6,6.0,20
静岡,福岡,金属素材群,749.1,0.57,9289.3,3895.5,6.0,0
静岡,福岡,化学・高分子素材群,749.1,0.57,9289.3,3895.5,6.0,1
静岡,福岡,無機素材群,749.1,0.57,9289.3,3895.5,6.0,19
愛知,東京,金属素材群,258.6,0.415,3403.1,1443.0,6.0,6
愛知,東京,化学・高分子素材群,258.6,0.415,3403.1,1443.0,6.0,12
愛知,東京,無機素材群,258.6,0.415,3403.1,1443.0,6.0,50
愛知,大阪,金属素材群,139.0,0.427,1967.6,844.8,6.0,12
愛知,大阪,化学・高分子素材群,139.0,0.427,1967.6,844.8,6.0,25
愛知,大阪,無機素材群,139.0,0.427,1967.6,844.8,6.0,53
愛知,札幌,金属素材群,956.3,0.527,11776.0,4931.7,6.0,1
愛知,札幌,化学・高分子素材群,956.3,0.527,11776.0,4931.7,6.0,3
愛知,札幌,無機素材群,956.3,0.527,11776.0,4931.7,6.0,6
愛知,仙台,金属素材群,492.5,0.502,6209.9,2612.4,6.0,1
愛知,仙台,化学・高分子素材群,492.5,0.502,6209.9,2612.4,6.0,6
愛知,仙台,無機素材群,492.5,0.502,6209.9,2612.4,6.0,19
愛知,名古屋,金属素材群,5.0,0.345,360.0,175.0,6.0,53
愛知,名古屋,化学・高分子素材群,5.0,0.345,360.0,175.0,6.0,76
愛知,名古屋,無機素材群,5.0,0.345,360.0,175.0,6.0,129
愛知,広島,金属素材群,416.0,0.527,5291.8,2229.9,6.0,1
愛知,広島,化学・高分子素材群,416.0,0.527,5291.8,2229.9,6.0,4
愛知,広島,無機素材群,416.0,0.527,5291.8,2229.9,6.0,25
愛知,福岡,金属素材群,622.4,0.49,7768.9,3262.1,6.0,0
愛知,福岡,化学・高分子素材群,622.4,0.49,7768.9,3262.1,6.0,2
愛知,福岡,無機素材群,622.4,0.49,7768.9,3262.1,6.0,16
京都,東京,金属素材群,363.7,0.375,4664.6,1968.6,6.0,8
京都,東京,化学・高分子素材群,363.7,0.375,4664.6,1968.6,6.0,9
京都,東京,無機素材群,363.7,0.375,4664.6,1968.6,6.0,56
京都,大阪,金属素材群,42.9,0.287,814.4,364.3,6.0,22
京都,大阪,化学・高分子素材群,42.9,0.287,814.4,364.3,6.0,28
京都,大阪,無機素材群,42.9,0.287,814.4,364.3,6.0,156
京都,札幌,金属素材群,1016.3,0.488,12495.6,5231.5,6.0,2
京都,札幌,化学・高分子素材群,1016.3,0.488,12495.6,5231.5,6.0,0
京都,札幌,無機素材群,1016.3,0.488,12495.6,5231.5,6.0,7
京都,仙台,金属素材群,581.5,0.463,7277.5,3057.3,6.0,0
京都,仙台,化学・高分子素材群,581.5,0.463,7277.5,3057.3,6.0,1
京都,仙台,無機素材群,581.5,0.463,7277.5,3057.3,6.0,20
京都,名古屋,金属素材群,105.3,0.375,1563.4,676.4,6.0,10
京都,名古屋,化学・高分子素材群,105.3,0.375,1563.4,676.4,6.0,16
京都,名古屋,無機素材群,105.3,0.375,1563.4,676.4,6.0,73
京都,広島,金属素材群,310.7,0.488,4028.9,1703.7,6.0,1
京都,広島,化学・高分子素材群,310.7,0.488,4028.9,1703.7,6.0,4
京都,広島,無機素材群,310.7,0.488,4028.9,1703.7,6.0,35
京都,福岡,金属素材群,517.6,0.45,6510.9,2737.9,6.0,4
京都,福岡,化学・高分子素材群,517.6,0.45,6510.9,2737.9,6.0,8
京都,福岡,無機素材群,517.6,0.45,6510.9,2737.9,6.0,38
兵庫,東京,金属素材群,424.4,0.395,5393.3,2272.2,6.0,1
兵庫,東京,化学・高分子素材群,424.4,0.395,5393.3,2272.2,6.0,12
兵庫,東京,無機素材群,424.4,0.395,5393.3,2272.2,6.0,38
兵庫,大阪,金属素材群,29.2,0.307,650.3,296.0,6.0,16
兵庫,大阪,化学・高分子素材群,29.2,0.307,650.3,296.0,6.0,33
兵庫,大阪,無機素材群,29.2,0.307,650.3,296.0,6.0,128
兵庫,札幌,金属素材群,1072.4,0.508,13169.2,5512.2,6.0,0
兵庫,札幌,化学・高分子素材群,1072.4,0.508,13169.2,5512.2,6.0,1
兵庫,札幌,無機素材群,1072.4,0.508,13169.2,5512.2,6.0,2
兵庫,仙台,金属素材群,645.3,0.483,8043.3,3376.4,6.0,2
兵庫,仙台,化学・高分子素材群,645.3,0.483,8043.3,3376.4,6.0,3
兵庫,仙台,無機素材群,645.3,0.483,8043.3,3376.4,6.0,22
兵庫,名古屋,金属素材群,166.3,0.495,2295.6,981.5,6.0,2
兵庫,名古屋,化学・高分子素材群,166.3,0.495,2295.6,981.5,6.0,5
兵庫,名古屋,無機素材群,166.3,0.495,2295.6,981.5,6.0,49
兵庫,広島,金属素材群,252.1,0.508,3325.8,1410.7,6.0,1
兵庫,広島,化学・高分子素材群,252.1,0.508,3325.8,1410.7,6.0,4
兵庫,広島,無機素材群,252.1,0.508,3325.8,1410.7,6.0,28
兵庫,福岡,金属素材群,456.7,0.47,5780.3,2433.5,6.0,2
兵庫,福岡,化学・高分子素材群,456.7,0.47,5780.3,2433.5,6.0,5
兵庫,福岡,無機素材群,456.7,0.47,5780.3,2433.5,6.0,17
岡山,東京,金属素材群,537.0,0.475,6744.3,2835.1,6.0,1
岡山,東京,化学・高分子素材群,537.0,0.475,6744.3,2835.1,6.0,8
岡山,東京,無機素材群,537.0,0.475,6744.3,2835.1,6.0,35
岡山,大阪,金属素材群,144.8,0.487,2037.6,874.0,6.0,9
岡山,大阪,化学・高分子素材群,144.8,0.487,2037.6,874.0,6.0,24
岡山,大阪,無機素材群,144.8,0.487,2037.6,874.0,6.0,70
岡山,札幌,金属素材群,1134.0,0.588,13907.4,5819.8,6.0,0
岡山,札幌,化学・高分子素材群,1134.0,0.588,13907.4,5819.8,6.0,1
岡山,札幌,無機素材群,1134.0,0.588,13907.4,5819.8,6.0,14
岡山,仙台,金属素材群,739.7,0.562,9176.7,3848.6,6.0,1
岡山,仙台,化学・高分子素材群,739.7,0.562,9176.7,3848.6,6.0,5
岡山,仙台,無機素材群,739.7,0.562,9176.7,3848.6,6.0,20
岡山,名古屋,金属素材群,278.6,0.575,3642.7,1542.8,6.0,2
岡山,名古屋,化学・高分子素材群,278.6,0.575,3642.7,1542.8,6.0,9
岡山,名古屋,無機素材群,278.6,0.575,3642.7,1542.8,6.0,28
岡山,広島,金属素材群,137.5,0.588,1949.5,837.3,6.0,4
岡山,広島,化学・高分子素材群,137.5,0.588,1949.5,837.3,6.0,13
岡山,広島,無機素材群,137.5,0.588,1949.5,837.3,6.0,44
岡山,福岡,金属素材群,344.8,0.55,4437.2,1873.8,6.0,1
岡山,福岡,化学・高分子素材群,344.8,0.55,4437.2,1873.8,6.0,7
岡山,福岡,無機素材群,344.8,0.55,4437.2,1873.8,6.0,26
広島県,東京,金属素材群,674.4,0.455,8393.1,3522.1,6.0,5
広島県,東京,化学・高分子素材群,674.4,0.455,8393.1,3522.1,6.0,6
広島県,東京,無機素材群,674.4,0.455,8393.1,3522.1,6.0,21
広島県,大阪,金属素材群,281.2,0.468,3674.1,1555.9,6.0,4
広島県,大阪,化学・高分子素材群,281.2,0.468,3674.1,1555.9,6.0,14
広島県,大阪,無機素材群,281.2,0.468,3674.1,1555.9,6.0,22
広島県,札幌,金属素材群,1234.1,0.568,15109.2,6320.5,6.0,0
広島県,札幌,化学・高分子素材群,1234.1,0.568,15109.2,6320.5,6.0,2
広島県,札幌,無機素材群,1234.1,0.568,15109.2,6320.5,6.0,5
広島県,仙台,金属素材群,868.1,0.542,10717.6,4490.7,6.0,0
広島県,仙台,化学・高分子素材群,868.1,0.542,10717.6,4490.7,6.0,2
広島県,仙台,無機素材群,868.1,0.542,10717.6,4490.7,6.0,3
広島県,名古屋,金属素材群,416.0,0.555,5292.1,2230.0,6.0,2
広島県,名古屋,化学・高分子素材群,416.0,0.555,5292.1,2230.0,6.0,2
広島県,名古屋,無機素材群,416.0,0.555,5292.1,2230.0,6.0,13
広島県,広島,金属素材群,5.0,0.398,360.0,175.0,6.0,22
広島県,広島,化学・高分子素材群,5.0,0.398,360.0,175.0,6.0,35
広島県,広島,無機素材群,5.0,0.398,360.0,175.0,6.0,81
広島県,福岡,金属素材群,209.0,0.53,2807.5,1194.8,6.0,1
広島県,福岡,化学・高分子素材群,209.0,0.53,2807.5,1194.8,6.0,9
広島県,福岡,無機素材群,209.0,0.53,2807.5,1194.8,6.0,17
福岡県,東京,金属素材群,881.0,0.415,10871.5,4554.8,6.0,5
福岡県,東京,化学・高分子素材群,881.0,0.415,10871.5,4554.8,6.0,6
福岡県,東京,無機素材群,881.0,0.415,10871.5,4554.8,6.0,15
福岡県,大阪,金属素材群,485.1,0.427,6121.4,2575.6,6.0,2
福岡県,大阪,化学・高分子素材群,485.1,0.427,6121.4,2575.6,6.0,8
福岡県,大阪,無機素材群,485.1,0.427,6121.4,2575.6,6.0,20
福岡県,札幌,金属素材群,1419.5,0.527,17333.9,7247.5,6.0,1
福岡県,札幌,化学・高分子素材群,1419.5,0.527,17333.9,7247.5,6.0,3
福岡県,札幌,無機素材群,1419.5,0.527,17333.9,7247.5,6.0,2
福岡県,仙台,金属素材群,1075.5,0.502,13206.2,5527.6,6.0,1
福岡県,仙台,化学・高分子素材群,1075.5,0.502,13206.2,5527.6,6.0,1
福岡県,仙台,無機素材群,1075.5,0.502,13206.2,5527.6,6.0,7
福岡県,名古屋,金属素材群,622.4,0.515,7769.3,3262.2,6.0,1
福岡県,名古屋,化学・高分子素材群,622.4,0.515,7769.3,3262.2,6.0,3
福岡県,名古屋,無機素材群,622.4,0.515,7769.3,3262.2,6.0,15
福岡県,広島,金属素材群,208.9,0.527,2807.4,1194.7,6.0,2
福岡県,広島,化学・高分子素材群,208.9,0.527,2807.4,1194.7,6.0,5
福岡県,広島,無機素材群,208.9,0.527,2807.4,1194.7,6.0,21
福岡県,福岡,金属素材群,5.0,0.32,360.0,175.0,6.0,57
福岡県,福岡,化学・高分子素材群,5.0,0.32,360.0,175.0,6.0,47
福岡県,福岡,無機素材群,5.0,0.32,360.0,175.0,6.0,99
熊本,東京,金属素材群,885.5,0.535,10926.0,4577.5,6.0,4
熊本,東京,化学・高分子素材群,885.5,0.535,10926.0,4577.5,6.0,4
熊本,東京,無機素材群,885.5,0.535,10926.0,4577.5,6.0,15
熊本,大阪,金属素材群,490.5,0.547,6186.2,2602.6,6.0,1
熊本,大阪,化学・高分子素材群,490.5,0.547,6186.2,2602.6,6.0,5
熊本,大阪,無機素材群,490.5,0.547,6186.2,2602.6,6.0,15
熊本,札幌,金属素材群,1471.6,0.648,17959.1,7507.9,6.0,0
熊本,札幌,化学・高分子素材群,1471.6,0.648,17959.1,7507.9,6.0,0
熊本,札幌,無機素材群,1471.6,0.648,17959.1,7507.9,6.0,2
熊本,仙台,金属素材群,1101.1,0.623,13512.7,5655.3,6.0,0
熊本,仙台,化学・高分子素材群,1101.1,0.623,13512.7,5655.3,6.0,1
熊本,仙台,無機素材群,1101.1,0.623,13512.7,5655.3,6.0,5
熊本,名古屋,金属素材群,629.5,0.635,7854.5,3297.7,6.0,2
熊本,名古屋,化学・高分子素材群,629.5,0.635,7854.5,3297.7,6.0,4
熊本,名古屋,無機素材群,629.5,0.635,7854.5,3297.7,6.0,10
熊本,広島,金属素材群,239.0,0.648,3168.6,1345.2,6.0,0
熊本,広島,化学・高分子素材群,239.0,0.648,3168.6,1345.2,6.0,2
熊本,広島,無機素材群,239.0,0.648,3168.6,1345.2,6.0,17
熊本,福岡,金属素材群,92.0,0.51,1404.5,610.2,6.0,4
熊本,福岡,化学・高分子素材群,92.0,0.51,1404.5,610.2,6.0,13
熊本,福岡,無機素材群,92.0,0.51,1404.5,610.2,6.0,28
